a_exp,t_cou,t_des3,t_fee,p_fla,p_work
,美国,学术会议,学校经费,优秀,交通科学与工程学院
学生,俄罗斯,学术会议,学校经费,良好,航天学院
学生,俄罗斯,学术会议,学校经费,良好,航天学院
教师,俄罗斯,访问考察,学校经费,优秀,航天学院
教师,日本,学术会议,学校经费,优秀,交通科学与工程学院
教师,日本,学术会议,学校经费,良好,交通科学与工程学院
教师,日本,学术会议,学校经费,优秀,交通科学与工程学院
教师,俄罗斯,学术会议,学校经费,优秀,航天学院
教师,美国,学术会议,学校经费,良好,交通科学与工程学院
教师,美国,学术会议,学校经费,良好,交通科学与工程学院
,俄罗斯,学术会议,学校经费,良好,航天学院
,俄罗斯,学术会议,学校经费,良好,航天学院
副教授,日本,学术会议,学校经费,良好,交通科学与工程学院
院长,日本,学术会议,学校经费,优秀,交通科学与工程学院
教师,美国,学术会议,学校经费,良好,交通科学与工程学院
学生,澳大利亚,学术会议,科研经费,良好,土木工程学院
教师,俄罗斯,学术会议,学院经费,优秀,航天学院
教师,英国,学术会议,科研经费,良好,机电工程学院
教师,英国,学术会议,科研经费,良好,机电工程学院
教师,澳大利亚,学术会议,科研经费,优秀,土木工程学院
教师,澳大利亚,学术会议,科研经费,优秀,土木工程学院
教师,澳大利亚,学术会议,科研经费,优秀,土木工程学院
学生,英国,学术会议,科研经费,良好,机电工程学院
教师,印度尼西亚,访问考察,学院经费,良好,土木工程学院
副教授,印度尼西亚,访问考察,学院经费,优秀,校本部机关
教师,印度尼西亚,访问考察,学院经费,良好,校本部机关
教授,法国,访问学者,科研经费,优秀,航天学院
教师,美国,学术会议,学校经费,良好,交通科学与工程学院
教师,美国,学术会议,科研经费,优秀,航天学院
教师,俄罗斯,学术会议,学院经费,优秀,航天学院
教师,俄罗斯,学术会议,学院经费,良好,航天学院
,俄罗斯,学术会议,学院经费,一般,航天学院
教授,美国,访问学者,科研经费,良好,电气工程及自动化学院
教师,中国台湾,访问考察,学校经费,优秀,校本部机关
,美国,学术会议,科研经费,良好,机电工程学院
教授,香港,学术会议,科研经费,良好,计算机科学与技术学院
教师,香港,学术会议,科研经费,良好,计算机科学与技术学院
