,5,韩国,学术交流,学校经费,男,已婚,优秀,化工学院
,5,韩国,学术交流,学校经费,男,已婚,优秀,校本部机关
教师,1,日本,学术会议,科研经费,女,已婚,良好,计算机科学与技术学院
教师,1,新加坡,学术会议,学校经费,女,已婚,良好,计算机科学与技术学院
教授,1,美国,学术会议,科研经费,男,已婚,良好,电子与信息工程学院
,1,西班牙,合作研究,科研经费,男,未婚,良好,能源科学与工程学院
教授,1,美国,学术会议,科研经费,男,已婚,良好,材料科学与工程学院
,1,美国,学术会议,学校经费,男,已婚,优秀,机电工程学院
教师,1,美国,学术会议,学校经费,男,已婚,优秀,机电工程学院
学生,1,美国,学术会议,科研经费,男,未婚,良好,计算机科学与技术学院
教师,1,德国,学术交流,科研经费,男,已婚,良好,化工学院
,1,美国,留学进修,境外邀请方,男,已婚,良好,理学院
教授,1,俄罗斯,访问考察,学校经费,男,已婚,优秀,航天学院
教师,1,美国,学术会议,科研经费,男,未婚,优秀,计算机科学与技术学院
教授,1,香港，澳门,学术会议,科研经费,男,已婚,优秀,航天学院
,1,中国澳门,学术会议,学校经费,男,未婚,良好,电气工程及自动化学院
教师,1,韩国,学术会议,科研经费,男,已婚,一般,机电工程学院
教师,1,韩国,学术会议,科研经费,男,已婚,优秀,土木工程学院
教授,1,美国,学术会议,学校经费,男,已婚,优秀,建筑学院
教师,1,中国香港,学术会议,科研经费,男,已婚,优秀,电气工程及自动化学院
学生,1,荷兰,学术会议,科研经费,男,未婚,优秀,电子与信息工程学院
教师,1,日本,学术会议,学校经费,女,已婚,优秀,机电工程学院
教师,6,南非,学术会议,学校经费,男,已婚,优秀,食品科学与工程学院
教师,6,南非,学术会议,学校经费,女,已婚,一般,食品科学与工程学院
教师,6,南非,学术会议,学校经费,女,已婚,良好,化工学院
教师,6,南非,学术会议,学校经费,女,已婚,优秀,食品科学与工程学院
教师,6,南非,学术会议,学校经费,男,已婚,良好,食品科学与工程学院
教师,6,南非,学术会议,学校经费,女,已婚,优秀,食品科学与工程学院
院长,6,南非,学术会议,学校经费,男,已婚,优秀,食品科学与工程学院
教师,6,南非,学术会议,学校经费,男,已婚,优秀,食品科学与工程学院
学生,1,新加坡,学术会议,学院经费,男,未婚,良好,计算机科学与技术学院
教授,1,中国台湾,学术交流,科研经费,男,已婚,良好,威海校区
教授,11,英国,学术交流,学校经费,女,已婚,优秀,建筑学院
教授,11,英国,学术交流,学校经费,男,已婚,良好,建筑学院
教师,11,英国,学术交流,学校经费,男,已婚,良好,校本部机关
教师,1,美国,访问考察,学校经费,男,已婚,优秀,计算机科学与技术学院
教师,2,法国,学术交流,科研经费,男,已婚,良好,计算机科学与技术学院
教师,2,法国,学术交流,科研经费,男,已婚,良好,计算机科学与技术学院
教授,2,美国,学术会议,学校经费,男,已婚,良好,材料科学与工程学院
教师,2,美国,学术会议,学校经费,男,已婚,良好,材料科学与工程学院
教师,1,法国,访问学者,科研经费,男,已婚,优秀,计算机科学与技术学院
学生,1,日本,留学进修,境外邀请方,男,未婚,良好,土木工程学院
副教授,1,法国,合作研究,科研经费,男,已婚,良好,计算机科学与技术学院
学生,1,日本,学术会议,学校经费,男,未婚,优秀,电气工程及自动化学院
教授,1,德国,学术会议,科研经费,男,已婚,良好,材料科学与工程学院
